Region	KKindex	KKx	KKy	Signal	LMpval	LMq	LMI	geometry
11:110780000-114760000	38	0.1707736048748295	0.7446957560091618	-3.7506204405055246	0.0007599848003039939	3	0.4481841652522585	POLYGON ((0.208547988235754 0.7509336316975157, 0.2081648938397359 0.7481529134133108, 0.1544426123117569 0.7055430195742246, 0.1296318950968512 0.7300862773644343, 0.1331205806519332 0.771465402377597, 0.1415453740096939 0.782772650823492, 0.203813363597758 0.7577820149228744, 0.208547988235754 0.7509336316975157))
11:110780000-114760000	39	0.18898757031491548	0.7900786352160333	-3.7506204405055246	0.003999920001599968	3	0.40238630084204924	POLYGON ((0.203813363597758 0.7577820149228744, 0.1415453740096939 0.782772650823492, 0.1432490020724522 0.798801753819853, 0.1744047872162771 0.826369141153001, 0.2122599708172199 0.8122376163016541, 0.203813363597758 0.7577820149228744))
11:110780000-114760000	40	0.22772619640809977	0.7840698877126363	-3.7506204405055246	1.999960000799984e-05	3	0.5034214801519908	POLYGON ((0.2780031022144215 0.7727487337010032, 0.208547988235754 0.7509336316975157, 0.203813363597758 0.7577820149228744, 0.2122599708172199 0.8122376163016541, 0.219278813095799 0.8143990629824462, 0.2780347978442928 0.7750074130032423, 0.2780031022144215 0.7727487337010032))
11:110780000-114760000	41	0.2505436523681902	0.8181040572662924	-3.7506204405055246	1.999960000799984e-05	3	0.5034214801519908	POLYGON ((0.2936682088161325 0.8094210029514525, 0.2780347978442928 0.7750074130032423, 0.219278813095799 0.8143990629824462, 0.2355422467826027 0.8401386065534803, 0.2900050897943278 0.8414141254875317, 0.2936682088161325 0.8094210029514525))
11:110780000-114760000	42	0.2494956731668344	0.8628512775538851	-3.7506204405055246	1.999960000799984e-05	3	0.5034214801519908	POLYGON ((0.2284629400989671 0.9247410293928018, 0.2342751654189557 0.9264403733393622, 0.240635878214244 0.9276335358683023, 0.2470833858772548 0.9281920598337932, 0.2535545254817865 0.9281104736629641, 0.2599859025916256 0.9273895766136919, 0.2663145123033278 0.9260364309446824, 0.272478356472948 0.9240642927301425, 0.2784170510800629 0.9214924819968195, 0.2840724177790531 0.9183461934556073, 0.2893890538425204 0.9146562496818827, 0.2943148749133973 0.9104587991625418, 0.2988016252486829 0.9057949621678104, 0.3028053504562113 0.9007104279170445, 0.3062868280932914 0.8952550069848778, 0.3092119519088634 0.8894821433325659, 0.3096438414741761 0.8883685588149608, 0.2900050897943278 0.8414141254875317, 0.2355422467826027 0.8401386065534803, 0.2190436054682623 0.8758326806737404, 0.2276977302797837 0.9256258340270753, 0.2284629400989671 0.9247410293928018))
11:110780000-114760000	43	0.20920111465031727	0.8442261840539429	-3.7506204405055246	1.999960000799984e-05	3	0.5034214801519908	POLYGON ((0.219278813095799 0.8143990629824462, 0.2122599708172199 0.8122376163016541, 0.1744047872162771 0.826369141153001, 0.1746255899098202 0.8410846317912731, 0.2190436054682623 0.8758326806737404, 0.2355422467826027 0.8401386065534803, 0.219278813095799 0.8143990629824462))
11:110780000-114760000	44	0.18599725729303326	0.8738873975683441	-3.7506204405055246	0.007059858802823943	3	0.5034214801519907	POLYGON ((0.2276977302797837 0.9256258340270753, 0.2190436054682623 0.8758326806737404, 0.1746255899098202 0.8410846317912731, 0.1563016581672215 0.8704265736400686, 0.1567108473862782 0.872611934163202, 0.223552501652281 0.9304189213709514, 0.2276977302797837 0.9256258340270753))
11:110780000-114760000	45	0.1621962134589119	0.9014083119071742	-3.7506204405055246	0.04341913161736765	3	0.5034214801519906	POLYGON ((0.1358870223925724 0.9612670073853806, 0.141859789016321 0.9635506227735123, 0.1480270554586709 0.9652399022091714, 0.1543298372994412 0.9663186892365005, 0.1607078540341519 0.9667766662167371, 0.1671001056034544 0.966609453007254, 0.1734454558044636 0.9658186488537301, 0.1796832170041814 0.964411817094787, 0.1857537305627498 0.9624024128253794, 0.1915989374152978 0.9598096542107754, 0.1971629333552761 0.9566583386818919, 0.2023925037084887 0.9529786057699164, 0.2072376322841381 0.9488056488484874, 0.2116519797352203 0.9441793785403665, 0.223552501652281 0.9304189213709514, 0.1567108473862782 0.872611934163202, 0.1315422047665902 0.9204388500447209, 0.1350875117726021 0.9608678754449834, 0.1358870223925724 0.9612670073853806))
11:110780000-114760000	46	0.14015988594554132	0.84526213247308	-3.7506204405055246	0.008179836403271934	3	0.3558307911761875	POLYGON ((0.1432490020724522 0.798801753819853, 0.1065865247949222 0.8339181098665204, 0.1147026086314246 0.8594885503110007, 0.1563016581672215 0.8704265736400686, 0.1746255899098202 0.8410846317912731, 0.1744047872162771 0.826369141153001, 0.1432490020724522 0.798801753819853))
11:110780000-114760000	47	0.1298698582263084	0.8843967512190037	-3.7506204405055246	0.04837903241935161	3	0.3472762030366265	POLYGON ((0.1315422047665902 0.9204388500447209, 0.1567108473862782 0.872611934163202, 0.1563016581672215 0.8704265736400686, 0.1147026086314246 0.8594885503110007, 0.1038271103039404 0.8814737937969636, 0.1315422047665902 0.9204388500447209))
